District/Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,184.1,186,185,184,185,184,184,187,184,184,201,226,230,231,231,229,227,227,219,206,217,217,213,214,195,205,213,219,218,211,201,206,203,197,199,201,196,198,196,191,186,182,186,186,169,180,176,144,147,152,141,141,164,127,123
Pathankot,39.4,42,40,41,41,41,41,42,42,42,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,189.3,189,188,189,189,188,188,188,188,188,190,189,185,187,184,185,185,372,358,356,363,361,358,354,349,335,341,352,356,352,353,355,350,333,328,338,331,322,322,313,303,298,296,284,274,271,255,246,246,248,228,242,226,214,177
Tarn Taran,185.5,187,188,187,186,185,186,188,183,182,185,186,186,180,185,183,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,110,105,109,109,108,106,110,110,111,110,110,108,111,111,111,109,111,115,112,112,114,111,111,108,102,104,116,113,118,113,111,113,111,109,109,107,109,108,106,102,101,96,98,92,93,90,79,73,73,67,67,67,68,61,57
Jalandhar,173.4,172,173,170,170,167,171,167,169,169,171,169,170,171,167,165,170,171,169,167,167,167,163,161,157,150,200,226,225,209,211,219,221,215,222,221,224,23,225,222,216,211,218,214,210,213,203,200,201,194,194,180,170,166,151
SBS Nagar,77.3,77.7,77,77,77,76,78,76,75,80,75,74,74,76,72,72,72,76,75,68,71,70,67,62,57,58,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,142.3,111.9,142,144,143,147,145,150,148,149,154,154,153,154,145,142,145,145,146,137,139,142,144,140,135,131,131,152,157,156,155,163,163,163,167,170,163,165,168,173,163,156,156,148,145,148,145,141,147,155,152,131,126,122,113
Rupnagar,67.5,68.7,69,69,67,68,64,66,67,63,64,65,65,64,62,57,59,89,87,86,88,86,87,86,83,82,84,84,84,83,83,82,82,78,75,76,73,73,77,75,76,72,70,67,63,63,62,62,63,61,61,61,55,53,48
SAS Nagar,50.1,48.5,50,50,50,50,50,50,51,53,52,53,53,49,48,50,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
