district/year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,184.1,186.0,185,184,185,184,184,187,184,184,201,226.0,230.0,231.0,231.0,229.0,227.0,227.0,219.0,206.0,217.0,217.0,213.0,214.0,195.0,205.0,213.0,219.0,218.0,211.0,201.0,206.0,203.0,197.0,199.0,201.0,196.0,198.0,196.0,191.0,186.0,182.0,186.0,186.0,169.0,180.0,176.0,144.0,147.0,152.0,141.0,141.0,164.0,127.0,123.0
Pathankot,39.4,42.0,40,41,41,41,41,42,42,42,@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amritsar,189.3,189.0,188,189,189,188,188,188,188,188,190,189.0,185.0,187.0,184.0,185.0,185.0,372.0,358.0,356.0,363.0,361.0,358.0,354.0,349.0,335.0,341.0,352.0,356.0,352.0,353.0,355.0,350.0,333.0,328.0,338.0,331.0,322.0,322.0,313.0,303.0,298.0,296.0,284.0,274.0,271.0,255.0,246.0,246.0,248.0,228.0,242.0,226.0,214.0,177.0
Tarn Taran,185.5,187.0,188,187,186,185,186,188,183,182,185,186.0,186.0,180.0,185.0,183.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapurthala,110.0,105.0,109,109,108,106,110,110,111,110,110,108.0,111.0,111.0,111.0,109.0,111.0,115.0,112.0,112.0,114.0,111.0,111.0,108.0,102.0,104.0,116.0,113.0,118.0,113.0,111.0,113.0,111.0,109.0,109.0,107.0,109.0,108.0,106.0,102.0,101.0,96.0,98.0,92.0,93.0,90.0,79.0,73.0,73.0,67.0,67.0,67.0,68.0,61.0,57.0
Jalandhar,173.4,172.0,173,170,170,167,171,167,169,169,171,169.0,170.0,171.0,167.0,165.0,170.0,171.0,169.0,167.0,167.0,167.0,163.0,161.0,157.0,150.0,200.0,226.0,225.0,209.0,211.0,219.0,221.0,215.0,222.0,221.0,224.0,23.0,225.0,222.0,216.0,211.0,218.0,214.0,210.0,213.0,203.0,200.0,201.0,194.0,194.0,180.0,170.0,166.0,151.0
SBS Nagar,77.3,77.7,77,77,77,76,78,76,75,80,75,74.0,74.0,76.0,72.0,72.0,72.0,76.0,75.0,68.0,71.0,70.0,67.0,62.0,57.0,58.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoshiarpur,142.3,111.9,142,144,143,147,145,150,148,149,154,154.0,153.0,154.0,145.0,142.0,145.0,145.0,146.0,137.0,139.0,142.0,144.0,140.0,135.0,131.0,131.0,152.0,157.0,156.0,155.0,163.0,163.0,163.0,167.0,170.0,163.0,165.0,168.0,173.0,163.0,156.0,156.0,148.0,145.0,148.0,145.0,141.0,147.0,155.0,152.0,131.0,126.0,122.0,113.0
Rupnagar,67.5,68.7,69,69,67,68,64,66,67,63,64,65.0,65.0,64.0,62.0,57.0,59.0,89.0,87.0,86.0,88.0,86.0,87.0,86.0,83.0,82.0,84.0,84.0,84.0,83.0,83.0,82.0,82.0,78.0,75.0,76.0,73.0,73.0,77.0,75.0,76.0,72.0,70.0,67.0,63.0,63.0,62.0,62.0,63.0,61.0,61.0,61.0,55.0,53.0,48.0
SAS Nagar,50.1,48.5,50,50,50,50,50,50,51,53,52,53.0,53.0,49.0,48.0,50.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
